scenario,query_number,query_work_id,relevance_type,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
hybrid_50_50,1,10.1090/s0002-9939-09-10039-4,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,2,10.2307/1994939,issn,17,0.1,0.058823529411764705,0.1111111111111111,0.06625422345438903,1
hybrid_50_50,3,10.1073/pnas.36.7.372,issn,19,0.2,0.10526315789473684,0.5,0.21222636597291458,2
hybrid_50_50,4,10.2140/pjm.1996.175.535,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,5,10.1142/s0217751x92003781,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,6,10.1080/00927870600938803,issn,5,0.1,0.2,0.5,0.21398626473452756,1
hybrid_50_50,7,10.2307/1998969,issn,17,0.2,0.11764705882352941,0.2,0.15139734109601002,2
hybrid_50_50,8,10.1090/s0002-9947-1979-0522262-6,issn,17,0.3,0.17647058823529413,1.0,0.40350157154648025,3
hybrid_50_50,9,10.2307/1995637,issn,17,0.1,0.058823529411764705,1.0,0.22009176629808017,1
hybrid_50_50,10,10.1090/s0002-9947-1970-0265437-8,issn,17,0.2,0.11764705882352941,1.0,0.33013764944712026,2
hybrid_50_50,11,10.5802/jolt.977,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,12,10.1016/s0021-8693(02)00097-2,issn,9,0.1,0.1111111111111111,0.5,0.1482972305701491,1
hybrid_50_50,13,10.1080/00927879508825335,issn,5,0.1,0.2,1.0,0.3391602052736161,1
hybrid_50_50,14,10.1073/pnas.83.10.3068,issn,19,0.0,0.0,0.0,0.0,0
hybrid_50_50,15,10.2307/2154659,issn,17,0.1,0.058823529411764705,0.16666666666666666,0.07839826897867533,1
hybrid_50_50,16,10.1007/s11537-006-0505-2,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,17,10.1112/s0024611598000483,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,18,10.1073/pnas.1321358111,issn,19,0.1,0.05263157894736842,0.125,0.06943122193677727,1
hybrid_50_50,19,10.24033/bsmf.1545,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,20,10.1006/jabr.1998.7558,issn,9,0.2,0.2222222222222222,0.25,0.1719843689333808,2
hybrid_50_50,21,10.1016/j.jpaa.2022.107311,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,22,10.1016/0021-8693(89)90241-x,issn,9,0.2,0.2222222222222222,0.2,0.16507664590405338,2
hybrid_50_50,23,10.2307/1968593,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,24,10.1016/j.jpaa.2004.01.002,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,25,10.1006/aima.1997.1681,issn,2,0.1,0.5,0.1,0.17723928678404774,1
hybrid_50_50,26,10.1063/1.532289,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,27,10.1002/cpa.3160260516,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,28,10.1353/ajm.2001.0017,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,29,10.1007/bf01461011,issn,6,0.1,0.16666666666666666,0.3333333333333333,0.15130120674940672,1
hybrid_50_50,30,10.1006/jabr.1994.1011,issn,9,0.1,0.1111111111111111,0.5,0.1482972305701491,1
hybrid_50_50,31,10.1007/bf00538879,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,32,10.2307/1990375,issn,17,0.0,0.0,0.0,0.0,0
hybrid_50_50,33,10.1109/18.165454,issn,16,0.5,0.3125,1.0,0.6136525857537393,5
hybrid_50_50,34,10.1109/tit.1971.1054674,issn,16,0.7,0.4375,1.0,0.7312625444731047,7
hybrid_50_50,35,10.5802/jolt.99,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,36,10.2307/1970080,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,37,10.1007/3-540-30593-9,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,38,10.1017/s002776300001182x,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,39,10.1017/s0027763000017025,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,40,10.1215/s0012-7094-39-00540-5,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,41,10.1103/physrevlett.13.678,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,42,10.1109/tit.1985.1057026,issn,16,0.2,0.125,1.0,0.3589542101716347,2
hybrid_50_50,43,10.1073/pnas.23.6.341,issn,19,0.4,0.21052631578947367,0.5,0.4288398090337664,4
hybrid_50_50,44,10.2307/1989646,issn,17,0.0,0.0,0.0,0.0,0
hybrid_50_50,45,10.1109/tac.1982.1102982,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,46,10.1093/qmath/22.3.371,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,47,10.1007/s10468-011-9276-4,issn,2,0.1,0.5,0.5,0.38685280723454163,1
hybrid_50_50,48,10.1007/s10468-015-9524-0,issn,2,0.1,0.5,0.2,0.23719771276929622,1
hybrid_50_50,49,10.1007/bf00534886,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,50,10.1080/00927879508825430,issn,5,0.4,0.8,1.0,0.8687949224876582,4
hybrid_50_50,51,10.1088/1751-8113/41/31/315210,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,52,10.1006/jabr.1998.7840,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,53,10.1016/0165-0114(87)90155-2,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,54,10.2307/2047415,issn,11,0.1,0.09090909090909091,0.5,0.13886244387355454,1
