embedding_index,title,year,authors,venue,issn,doi,subjects,work_id,embedding_id,embedding_run,embedding_preview,abstract
0,On Kostant's theorem for Lie algebra cohomology,2009,University of Georgia VIGRE Algebra Group,"Lin, Zongzhu (ed.) et al., Representation theory. Fourth international conference on representation theory, Lhasa, China, July 16--20, 2007. Providence, RI: American Mathematical Society (AMS) (ISBN 978-0-8218-4555-4/pbk). Contemporary Mathematics 478, 39-60 (2009).",,,"17B56, 20G05",24e56cee95c7005b79ee8cc59803b7fb284dd2e8,f7fc7967cc2eaf8c3756f5b8f0c259ed400ad426,no_msc_clean,"[-0.1324, 0.0507, -0.0355, 0.0502, 0.0489, 0.0919, -0.0178, 0.0153, ...] dimension=384","Kostant proved a celebrated result which computes the ordinary Lie algebra cohomology for the nilradical of the Borel subalgebra of a complex simple Lie algebra \(\mathfrak g\) with coefficients in a finite-dimensional simple \(\mathfrak g\)-module. Later, other proofs have been discovered, and the aim of this article is to investigate and compare the cohomology of the unipotent radical \(\mathfrak u\) of parabolic subalgebras over \(\mathbb C\) and \(\mathbb F_p\). Also a new proof of Kostant's theorem and Polo-Tilouine's extensions of the theorem is presented. The authors proof uses known linkage results in category \(\mathcal O_J\) and the graded \(G_1 T\) category for the first Frobenius kernel \(G_1\). Here \(J\) is a subset of the simple roots \(\Delta\) of the underlying root system.

When \(h\) is the Coxeter number for the underlying root system, the authors prove that when \(p<h-1\), there exists additional cohomology classes in \(H^\bullet(\mathfrak u,\mathbb F_p)\) beyond those given by Kostant's formula. The proof relies on the modular representation theory of reductive algebraic groups. Also the authors exhibits natural classes that arise in \(H^{2p-1}(\mathfrak u,\bar{\mathbb F}_p)\) when the root system is \(\Phi=A_{p+1}\) which do not arise over fields of characteristic \(0\). In the end of the article, several low rank examples is given.

The authors give a relatively elementary definition of the category \(\mathcal O_J\), also introducing the \textit{parabolic Verma module}, regular and singular weights, and they give a proposition allowing them to compare composition factors of the cohomology with coefficients in a module to the cohomology with trivial coefficients.

In a ``parabolic computation'', the authors prove elementary results used to prove Kostant's theorem and its generalization to prime characteristic. The prime characteristic case is much harder than the characteristic \(0\) case, because the control over the composition factors ar..."
1,An analog of Kostant's theorem for the cohomology of quantum groups,2010,University of Georgia VIGRE Algebra Group,"Proc. Am. Math. Soc. 138, No. 1, 85-99 (2010).","0002-9939, 1088-6826",10.1090/s0002-9939-09-10039-4,"17B37, 17B56, 20G10, 20G42",10.1090/s0002-9939-09-10039-4,eb76bad960b7b20dd5e0461c63d172e677a56048,no_msc_clean,"[-0.1409, 0.0533, -0.0466, 0.0604, -0.0185, 0.0673, -0.0141, -0.0338, ...] dimension=384","The authors prove the analog of Kostant's theorem on Lie algebra cohomology in the context of quantum groups. Recall that Kostant's theorem computes the ordinary Lie algebra cohomology for the nilradical of a Borel subalgebra of a complex simple Lie algebra \(\mathfrak g\) with coefficients in a finite-dimensional simple \(\mathfrak g\)-module. There is also a version with a parabolic subalgebra of \(\mathfrak g\). In this paper it is shown that Kostant's cohomology formula holds for quantum groups at a generic parameter \( q\), recovering an earlier result of Malikov in the case where the underlying semisimple Lie algebra \( \mathfrak{g} \) equals \( \mathfrak{sl}(n)\). Further Kostant's formula is shown to hold when \( q\) is specialized to an \( \ell\)-th root of unity for odd \( \ell \geq h-1\) (where \( h\) is the Coxeter number of \( \mathfrak{g}\)) when the highest weight of the coefficient module lies in the lowest alcove. This can be regarded as an analog of results of Friedlander-Parshall and Polo-Tilouine on the cohomology of Lie algebras of reductive algebraic groups in prime characteristic. The pattern of the proof is similar to the recent treatment of the modular case by the same authors. Lower bounds on cohomology are obtained by comparing Euler characteristics in the quantum and the classical situation. Upper bounds come from a linkage principle in a quantum parabolic category \(\mathcal O\)."
2,Cohomology of algebras over Hopf algebras,1968,"Sweedler, M. E.","Trans. Am. Math. Soc. 133, 205-239 (1968).","1088-6850, 0002-9947",10.2307/1994939,"16T05, 16E40",10.2307/1994939,b0db3c1f7c2951cf614f4a60030ae6c2c7fb343c,no_msc_clean,"[-0.0721, 0.0321, -0.0305, -0.0401, 0.0057, 0.0290, 0.0600, -0.0602, ...] dimension=384","Given a commutative algebra \(A\) which is a module-algebra for a Hopf algebra \(H\) the author defines cohomology groups \(\mathcal H^i(H,A)\), \(i\ge 0\). The cohomology theory is covariant in the algebra variable and gives rise to long exact cohomology sequences. When the Hopf algebra \(H\) is the group algebra of a group \(G\) of automorphisms of \(A\) then the Hopf algebra cohomology agrees with the group cohomology \(\mathcal H^i(G,A^*)\), \(i\ge 0\), when the Hopf algebra \(H\) is the universal enveloping algebra of a Lie algebra \(L\) of derivations of \(A\) the Hopf algebra cohomology agrees with the Lie cohomology \(\mathcal H^i(L,A^+)\) for \(i\ge 2\). \((A^*\) is the multiplicative group of invertible elements in \(A\) and \(A^+\) is the underlying vector space of \(A\).) When \(A\) is a finite field extension and \(H\) a ``Galois'' Hopf algebra the Hopf algebra cohomology agrees with the Amitsur cohomology. Note that for \(A\) to have a ``Galois'' Hopf algebra, \(A\) need not be a separable or normal extension. The author gives a class of purely inseparable extensions having ``Galois'' Hopf algebras. 

The second half of the paper is devoted to extension theory. Extensions are defined as well as the products of extensions. By means of ``crossed-product'' extensions the author shows that the group of equivalence classes of extensions is isomorphic to the second Hopf algebra cohomology group. In the special case of a field extension and Galois Hopf algebra the (crossed-product) extensions are central simple algebras which are split by the field extension. This leads to a group isomorphism between the second Hopf algebra cohomology group and the subgroup of the Brauer group consisting of classes split by the field extension."
3,On the algebra of quasi-shuffles.,2007,"Loday, Jean-Louis","Manuscr. Math. 123, No. 1, 79-93 (2007).","1432-1785, 0025-2611",10.1007/s00229-007-0086-2,"16W30, 18D50, 17A30",10.1007/s00229-007-0086-2,701bc9b4cbe9ffc2939152c7fb4d5f6d39eea33b,no_msc_clean,"[-0.1423, -0.0195, -0.0358, -0.0876, -0.1149, 0.0172, 0.0523, -0.0541, ...] dimension=384","A commutative tri-dendriform algebra (CTD-algebra) is determined by two operations, denoted by \(\prec\) (left) and \(\cdot\) (dot), satisfying certain axioms. The aim of the paper is to show that the tensor module of the (non-constant) polynomial algebra with the quasi-shuffle algebra structure (called the stuffle algebra) is a free unital CTD-algebra. A non-commutative version of this is also proved in the paper. A quasi-shuffle algebra is in fact a CTD-bialgebra. The author proves a structure theorem for connected CTD-bialgebras."
4,A note on the exceptional Jordan algebra,1950,"Albert, A. A.","Proc. Natl. Acad. Sci. USA 36, 372-374 (1950).","1091-6490, 0027-8424",10.1073/pnas.36.7.372,,10.1073/pnas.36.7.372,7e97b54e1139be5736794520b73f0ff1bf4e52bc,no_msc_clean,"[0.0081, 0.0147, -0.0343, 0.0464, -0.1216, 0.0076, -0.0667, 0.0520, ...] dimension=384","Proceedings of the National Academy of Sciences (PNAS), a peer reviewed journal of the National Academy of Sciences (NAS) - an authoritative source of high-impact, original research that broadly spans the biological, physical, and social sciences."
5,Some remarks on Lie superalgebras,1987,"Mackey, G. W.","Czech. J. Phys., B 37, No. 3, 373-386 (1987).",,,"17B70, 17A70, 17B05",811ad4674cc2a47cd7ab1abc44987178a0698354,c55708bdcce87c0d5e5e4345b49ada371df2d2b9,no_msc_clean,"[-0.0896, -0.0374, 0.0191, 0.0505, -0.1618, 0.0553, -0.0808, -0.0123, ...] dimension=384","Summary: We propose an approach to the theory of Lie superalgebras based on what we call a ``Lie algebra square root''. Every Lie algebra square root has a Lie algebra as its square, but many different Lie algebra square roots may have the same square."
6,Banach algebras with unitary norms,1996,"Hansen, Mogens L., Kadison, Richard V.","Pac. J. Math. 175, No. 2, 535-552 (1996).","1945-5844, 0030-8730",10.2140/pjm.1996.175.535,46L05,10.2140/pjm.1996.175.535,db3e089b87d152ce2a5f40ed3ca32065262d4822,no_msc_clean,"[-0.1058, -0.0380, -0.0976, 0.0410, -0.1120, -0.0085, 0.0537, -0.0532, ...] dimension=384","The metric nature of the unitary group of a (unital) \(C^*\)-algebra is studied in the Banach algebra framework. Using the Russo-Dye theorem and its recent refinements as a point of departure, a unitary norm on a (complex, unital) Banach algebra is defined to be a norm such that the unit ball is the norm closure of the convex hull of a group of invertible elements in the algebra. If the group is maximal as a bounded subgroup of the group of invertible elements of the algebra, the norm is said to be maximal unitary. It is shown that the unitary group of a \(C^*\)-algebra is a maximal bounded subgroup of the group of invertible elements, that a norm-closed algebra of bounded operators on a Hilbert space whose norm is unitary is a \(C^*\)-algebra, that each finite-dimensional Banach algebra with a maximal unitary norm is isometrically isomorphic to a \(C^*\)-algebra (this fails without the assumption of maximality). The unitary norms on the algebra of continuous complex-valued functions on a compact Hausdorff space are studied. The \(L^1\) norm is shown to be unitary on a Wiener algebra. Using Effros-Ruan and Blecher-Ruan-Sinclair, it is shown that a (unital) \(L^\infty\)-matricially normed Banach algebra with unitary norm is (completely) isometric and isomorphic to a \(C^*\)-algebra."
7,Affine Kac-Moody algebras at the critical level and Gelfand-Dikii algebras,1992,"Feigin, Boris, Frenkel, Edward","Int. J. Mod. Phys. A 7, Suppl. 1A, 197-215 (1992).","0217-751X, 1793-656X",10.1142/s0217751x92003781,"17B67, 17B37",10.1142/s0217751x92003781,a7a1b491e66cc37e03138e1aa45d5326bf603a93,no_msc_clean,"[-0.1669, -0.0235, -0.0170, 0.0625, -0.0990, 0.0373, 0.0647, 0.0186, ...] dimension=384","Summary: We prove Drinfeld's conjecture that the center of a certain completion of the universal enveloping algebra of an affine Kac-Moody algebra at the critical level is isomorphic to the Gelfand-Dikii algebra, associated to the Langlands dual algebra. The center is identified with a limit of the \(W\)-algebra, defined by means of the quantum Drinfeld-Solokov reduction."
8,Nonnuclear subalgebras of \(C^*\)-algebras,1985,"Blackadar, Bruce","J. Oper. Theory 14, 347-350 (1985).",,,46L05,173342a0edffa25db8e3f848b9a7f06304e33b21,5dbef1973bed977cb85269a89696f19f4ab52df3,no_msc_clean,"[-0.1019, -0.0328, -0.0345, 0.0110, -0.0635, -0.0117, -0.0126, 0.0397, ...] dimension=384","The author constructs a \(C^*\)-algebra containing a \(C^*\)-subalgebra which has the Cuntz algebra \({\mathcal O}_ 2\) as a quotient. It arises as the crossed product of a UHF algebra by an automorphism, so, by a recent result of Voiculescu, can be embedded in a UHF algebra. Since \({\mathcal O}_ 2\) is nuclear and yet contains the nonnuclear Choi algebra it follows that any \(C^*\)-algebra not of type I contains a \(C^*\)-algebra which has \({\mathcal O}_ 2\) has a quotient, and so contains a nonnuclear \(C^*\)-subalgebra."
9,Relativistic mass splitting in associative algebra,1967,"Nakamura, Morio","Prog. Theor. Phys. 37, 195-201 (1967).","1347-4081, 0033-068X",10.1143/ptp.37.195,,10.1143/ptp.37.195,20d0a37b1fa5d0957d97901d98ec346a8de2216c,no_msc_clean,"[-0.0727, -0.0403, 0.0295, 0.0707, -0.0688, -0.0102, 0.0244, -0.0216, ...] dimension=384",A method of combining the internal symmetry group and the Poincaré group is suggested to show an example of the relativistic mass splitting. The relation between our method and what was proved through the functional analysis by Jost and Segal is explained.
